Transition,Wavelength (nm)
40->1,91.232365999999999
39->1,91.235329500000006
38->1,91.238530299999994
37->1,91.241994300000002
36->1,91.245751299999995
35->1,91.249835200000007
34->1,91.254285199999998
33->1,91.259146299999998
32->1,91.264470900000006
31->1,91.270319700000002
30->1,91.276763900000006
29->1,91.283887300000004
28->1,91.291788699999998
27->1,91.300585900000002
26->1,91.310419499999995
25->1,91.321459200000007
24->1,91.333910500000002
23->1,91.348025100000001
22->1,91.3641133
21->1,91.382560900000001
20->1,91.403853699999999
19->1,91.428608600000004
18->1,91.4576201
17->1,91.4919242
16->1,91.532893200000004
15->1,91.582375099999993
14->1,91.642907600000001
13->1,91.718051399999993
12->1,91.8125
9->1,92.314800000000005
39->2,365.55993000000001
37->2,365.66698000000002
35->2,365.79298999999997
33->2,365.94270999999998
30->2,366.22624999999999
28->2,366.46830999999997
27->2,366.61016000000001
26->2,366.76880999999997
21->2,367.93588999999997
20->2,368.28143
16->2,370.38592999999997
15->2,371.19774000000001
14->2,372.19448999999997
13->2,373.43745999999999
12->2,375.01584000000003
11->2,377.06367999999998
10->2,379.79043999999999
9->2,383.53908999999999
8->2,388.90557000000001
7->2,397.00788
20->3,839.23969999999997
19->3,841.33180000000004
18->3,843.79560000000004
16->3,850.24829999999997
15->3,854.53830000000005
14->3,859.83920000000001
13->3,866.5018
12->3,875.04719999999998
11->3,886.27829999999994
10->3,901.49099999999999
9->3,922.90139999999997
5->19,2449
5->18,2469.9879999999998
5->17,2495.2545
5->9,3296.991
6->19,3645.9259999999999
6->18,3692.636
6->17,3749.3960000000002
6->13,4170.7969999999996
6->12,4376.4579999999996
6->11,4672.5119999999997
7->20,5091.3209999999999
7->19,5169.2820000000002
7->18,5263.6850000000004
7->17,5379.7759999999998
7->16,5525.19
7->15,5711.4639999999999
6->9,5908.22
7->14,5956.8450000000003
7->13,6291.9179999999997
7->12,6771.9930000000004
8->20,6946.7560000000003
5->6,7459.84
8->17,7495.0870000000004
7->11,7508.107
8->16,7780.366
8->15,8154.8869999999997
8->14,8664.4979999999996
7->10,8760.0679999999993
9->20,9260.5259999999998
8->13,9392.0130000000008
9->19,9521.7219999999998
9->18,9847.0249999999996
8->12,10503.494000000001
9->16,10803.593000000001
7->9,11308.706
9->15,11539.481
10->20,12156.825999999999
6->7,12371.91
8->11,12387.157999999999
9->14,12587.065000000001
10->19,12610.960999999999
10->18,13187.986000000001
9->13,14183.07
10->16,14962.25
11->20,15816.95
8->10,16209.09
10->15,16411.71
11->19,16594.45
9->12,16880.61
11->18,17608.240000000002
10->14,18615.14
7->8,19061.919999999998
12->20,20514.64
11->16,20920.55
12->19,21841.95
9->11,22340.42
12->18,23632.87
11->15,23868.01
13->20,26681.87
8->9,27803.38
11->14,28831.14
13->19,28971.72
10->12,29839.49
12->16,30009.99
13->18,32209.32
14->20,35040.269999999997
12->15,36470.46
9->10,38869.79
11->13,38842.980000000003
14->19,39098.57
13->16,45340.800000000003
15->20,46890.6
12->14,49487.6
10->11,52534.8
15->19,54454.3
13->15,61910.3
16->20,64836.4
11->12,69072
14->16,76247.600000000006
16->19,80249
12->13,88754.5
17->20,94954.7
13->14,111856.3
14->15,138651
15->16,169411
19->20,337586
8->19,7092.7079999999996
